text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"On 05 August 2025 at 08:21, an incident occurred at Engineering Workshop. Finley West from the Health & Safety department was involved. Puncture wound from misplaced tool The incident was reported by Sydney Reed. Structural collapse in dry dock due to corrosion."
"The incident was reported by Dakota Ward. On 14 February 2024 at 13:11, an incident occurred at Warehouse A. Chemicals spill contaminated dock area. Minor cuts and bruises Cameron Davis from the HR department was involved."
"Dakota Brown from the Customer Service department was involved. Dislocated shoulder during equipment maintenance The incident was reported by Peyton Allen. On 18 August 2025 at 17:49, an incident occurred at Paint Shop. crane failure caused a steel beam to drop to storage area."
"On 14 August 2025 at 17:21, an incident occurred at Training Room. The incident was reported by Peyton Reed. grinder failure caused a steel beam to drop to ship propeller. Finley Graham from the Fleet Management department was involved. Fractured ankle due to fall from scaffolding"
"The incident was reported by Harper Bennett. Fractured wrist from fall on wet surface Chemicals spill contaminated dock area. On 14 May 2025 at 18:13, an incident occurred at Reception Area. Sydney Smith from the Communications department was involved."
"On 03 June 2025 at 01:50, an incident occurred at Maintenance Shed. The incident was reported by Chris Johnson. Foreign object in eye from grinding debris Structural collapse in shipyard warehouse due to improper maintenance. Blake Parker from the Engineering department was involved."
"The incident was reported by Dakota Parker. Chemicals spill contaminated engine room. On 28 August 2024 at 02:44, an incident occurred at Training Room. Electric shock from faulty wiring Jamie Johnson from the Procurement department was involved."
"Emerson Robinson from the IT department was involved. Burn from hot welding equipment The incident was reported by Elliot Reed. crane failure caused a fuel leak to ship propeller. On 11 March 2025 at 01:05, an incident occurred at Warehouse B."
"Structural collapse in dry dock due to overload. The incident was reported by Logan Lee. Dakota Morgan from the Research & Development department was involved. Burn from hot welding equipment On 25 September 2024 at 23:27, an incident occurred at Cafeteria."
"On 15 February 2025 at 22:31, an incident occurred at Training Room. The incident was reported by Elliot Holmes. Structural collapse in pier due to overload. Skyler Ward from the Finance department was involved. Dislocated shoulder during equipment maintenance"
"The incident was reported by Skyler Ward. Cameron Mitchell from the Finance department was involved. On 06 December 2024 at 03:10, an incident occurred at Shipyard Pier. Chemicals spill contaminated dock area. Puncture wound from misplaced tool"
"Dislocated shoulder during equipment maintenance Taylor Foster from the Procurement department was involved. On 01 September 2024 at 16:47, an incident occurred at Reception Area. forklift failure caused a fuel leak to ship propeller. The incident was reported by Alex Morgan."
"Structural collapse in dry dock due to improper maintenance. The incident was reported by Jesse Graham. Hearing damage from loud machinery Frankie Walker from the HR department was involved. On 15 July 2024 at 00:39, an incident occurred at IT Server Room."
"The incident was reported by Rowan West. Oil spill contaminated paint shop. On 18 July 2024 at 23:47, an incident occurred at Training Room. Fractured ankle due to fall from scaffolding Frankie Lewis from the Facilities department was involved."
"Hydraulic fluid spill contaminated paint shop. Cameron Parker from the Logistics department was involved. The incident was reported by Kai Murray. On 08 September 2024 at 01:11, an incident occurred at Warehouse A. Compressed air injury during maintenance"
"The incident was reported by Rowan Bailey. On 06 October 2024 at 15:06, an incident occurred at Engineering Workshop. Dislocated shoulder during equipment maintenance Blake Holmes from the Operations department was involved. crane failure caused a fuel leak to storage area."
"Chemicals spill contaminated paint shop. The incident was reported by Logan West. On 27 June 2024 at 07:34, an incident occurred at Shipyard Pier. Electric shock from faulty wiring Logan Smith from the Ship Maintenance department was involved."
"Hearing damage from loud machinery crane failure caused electrical fire to ship propeller. Elliot Fisher from the Warehouse department was involved. The incident was reported by Casey Davis. On 01 May 2025 at 03:33, an incident occurred at Main Gate Security."
"Rowan Mitchell from the IT department was involved. Eye irritation from chemical fumes crane failure caused a fuel leak to ship propeller. On 14 March 2025 at 14:08, an incident occurred at IT Server Room. The incident was reported by Skyler Parker."
"Electric shock from faulty wiring On 09 December 2024 at 09:28, an incident occurred at Paint Shop. Structural collapse in pier due to improper maintenance. The incident was reported by Cameron Payne. Kai Murphy from the Logistics department was involved."
"Oil spill contaminated paint shop. Minor cuts and bruises Kai Robinson from the Customer Service department was involved. The incident was reported by Logan Graham. On 13 September 2024 at 15:28, an incident occurred at Dry Dock 2."
"On 12 June 2025 at 17:45, an incident occurred at Fuel Depot. The incident was reported by Cameron Clark. Alex Pearson from the Legal department was involved. Structural collapse in shipyard warehouse due to improper maintenance. Smoke inhalation from fire in electrical bay"
"On 20 March 2024 at 02:26, an incident occurred at Warehouse B. The incident was reported by Frankie Murphy. grinder failure caused a fuel leak to ship propeller. Fractured wrist from fall on wet surface Spencer Hughes from the Operations department was involved."
"Compressed air injury during maintenance The incident was reported by Sydney Hughes. Hydraulic fluid spill contaminated engine room. On 29 September 2024 at 18:32, an incident occurred at Dry Dock 1. Chris Brown from the Environmental Services department was involved."
"The incident was reported by Emerson Brown. On 30 April 2024 at 21:10, an incident occurred at Dockyard South. Laceration from sharp metal panel Kai Reed from the Ship Maintenance department was involved. Chemicals spill contaminated paint shop."
"Morgan Pearson from the Procurement department was involved. The incident was reported by Jordan Walker. Back strain from improper lifting forklift failure caused electrical fire to dry dock floor. On 03 October 2024 at 06:25, an incident occurred at Dockyard North."
"Trip hazard fall resulting in bruising Structural collapse in pier due to improper maintenance. On 03 October 2024 at 01:08, an incident occurred at IT Server Room. The incident was reported by Peyton Smith. Dakota Clark from the Security department was involved."
"Fractured ankle due to fall from scaffolding On 12 July 2024 at 05:40, an incident occurred at Maintenance Shed. crane failure caused electrical fire to dry dock floor. Spencer Murray from the Research & Development department was involved. The incident was reported by Rowan Ward."
"The incident was reported by Frankie Fisher. Taylor Smith from the Procurement department was involved. On 17 July 2025 at 00:42, an incident occurred at Maintenance Shed. Trip hazard fall resulting in bruising grinder failure caused a fuel leak to storage area."
"Riley Johnson from the Training & Development department was involved. Hydraulic fluid spill contaminated dock area. The incident was reported by Reese Hughes. Dislocated shoulder during equipment maintenance On 19 April 2025 at 04:15, an incident occurred at Fleet Garage."
"The incident was reported by Frankie Walker. Charlie Bennett from the Operations department was involved. crane failure caused a fuel leak to ship propeller. On 31 January 2025 at 23:10, an incident occurred at Dry Dock 1. Crush injury to hand from hydraulic press"
"The incident was reported by Avery Reed. On 07 November 2024 at 21:14, an incident occurred at Electrical Bay. grinder failure caused a fuel leak to storage area. Elliot Brown from the Dockyard Operations department was involved. Eye irritation from chemical fumes"
"Finley Payne from the HR department was involved. On 28 November 2024 at 11:56, an incident occurred at Fuel Depot. Heat exhaustion from prolonged outdoor work Oil spill contaminated dock area. The incident was reported by Chris Bailey."
"Charlie West from the Research & Development department was involved. Structural collapse in pier due to corrosion. On 10 September 2024 at 19:59, an incident occurred at Electrical Bay. Fractured wrist from fall on wet surface The incident was reported by Spencer Bailey."
"Eye irritation from chemical fumes On 01 June 2025 at 06:46, an incident occurred at IT Server Room. forklift failure caused a steel beam to drop to dry dock floor. The incident was reported by Jamie Allen. Jamie Johnson from the Procurement department was involved."
"Concussion from falling object Structural collapse in pier due to corrosion. The incident was reported by Finley Morgan. Frankie Mitchell from the Quality Assurance department was involved. On 27 March 2024 at 02:41, an incident occurred at Reception Area."
"Casey Cooper from the Warehouse department was involved. Oil spill contaminated dock area. On 29 July 2025 at 18:39, an incident occurred at Dry Dock 1. Smoke inhalation from fire in electrical bay The incident was reported by Elliot Walker."
"Emerson Murphy from the Finance department was involved. The incident was reported by Rowan Walker. Structural collapse in shipyard warehouse due to corrosion. On 23 February 2024 at 00:45, an incident occurred at Training Room. Minor cuts and bruises"
"On 22 October 2024 at 16:51, an incident occurred at Office - Admin Block. The incident was reported by Spencer Fisher. Chemical burn from solvent exposure Structural collapse in shipyard warehouse due to improper maintenance. Elliot Graham from the Warehouse department was involved."
"Crush injury to hand from hydraulic press On 26 July 2025 at 17:13, an incident occurred at Warehouse A. The incident was reported by Spencer Lee. Harper Murphy from the Legal department was involved. Oil spill contaminated engine room."
"crane failure caused a fuel leak to ship propeller. On 01 May 2024 at 06:05, an incident occurred at Warehouse A. The incident was reported by Spencer Fisher. Drew Bailey from the Dockyard Operations department was involved. Smoke inhalation from fire in electrical bay"
"Dislocated shoulder during equipment maintenance Drew Hughes from the Training & Development department was involved. On 14 October 2024 at 11:38, an incident occurred at Fleet Garage. Structural collapse in shipyard warehouse due to corrosion. The incident was reported by Skyler Holmes."
"Cameron Cooper from the Procurement department was involved. The incident was reported by Emerson Foster. On 09 April 2024 at 04:52, an incident occurred at Dockyard North. crane failure caused electrical fire to dry dock floor. Back strain from improper lifting"
"Severe abrasion from slip on deck Structural collapse in shipyard warehouse due to improper maintenance. The incident was reported by Reese Holmes. Blake Clark from the Quality Assurance department was involved. On 20 January 2024 at 21:31, an incident occurred at Paint Shop."
"forklift failure caused a steel beam to drop to storage area. Electric shock from faulty wiring On 31 October 2024 at 10:55, an incident occurred at Tool Crib. The incident was reported by Spencer Johnson. Peyton Allen from the Security department was involved."
"forklift failure caused electrical fire to storage area. The incident was reported by Jordan Ward. On 04 February 2025 at 09:38, an incident occurred at Fuel Depot. Laceration from sharp metal panel Skyler Cooper from the Customer Service department was involved."
"On 03 February 2024 at 06:40, an incident occurred at Dry Dock 1. Avery Pearson from the Quality Assurance department was involved. Structural collapse in dry dock due to overload. Fractured wrist from fall on wet surface The incident was reported by Logan Kennedy."
"Trip hazard fall resulting in bruising Hydraulic fluid spill contaminated paint shop. Jesse Ward from the Ship Maintenance department was involved. The incident was reported by Jesse Sullivan. On 11 July 2025 at 17:04, an incident occurred at Dockyard South."
"On 13 September 2024 at 02:01, an incident occurred at Dockyard South. Structural collapse in pier due to overload. Heat exhaustion from prolonged outdoor work The incident was reported by Kai Holmes. Skyler Graham from the IT department was involved."
"Casey Clark from the Training & Development department was involved. The incident was reported by Reese Holmes. crane failure caused a steel beam to drop to ship propeller. On 02 September 2025 at 02:20, an incident occurred at Fuel Depot. Concussion from falling object"
"Compressed air injury during maintenance The incident was reported by Elliot Walker. Hydraulic fluid spill contaminated paint shop. Jordan Lee from the Ship Maintenance department was involved. On 25 June 2025 at 03:02, an incident occurred at Shipyard Pier."
"On 07 March 2024 at 08:12, an incident occurred at Tool Crib. Casey Murray from the Ship Maintenance department was involved. Laceration from sharp metal panel The incident was reported by Sydney Lewis. crane failure caused a steel beam to drop to dry dock floor."
"Harper Bennett from the Fleet Management department was involved. Hydraulic fluid spill contaminated engine room. On 26 April 2024 at 19:26, an incident occurred at Reception Area. The incident was reported by Jesse Smith. Electric shock from faulty wiring"
"The incident was reported by Avery Allen. Alex Kennedy from the Warehouse department was involved. Structural collapse in shipyard warehouse due to improper maintenance. On 21 September 2024 at 22:02, an incident occurred at Electrical Bay. Electric shock from faulty wiring"
"On 08 September 2024 at 02:39, an incident occurred at Warehouse B. The incident was reported by Jesse Morgan. Riley Ward from the Dockyard Operations department was involved. forklift failure caused electrical fire to storage area. Trip hazard fall resulting in bruising"
"On 03 June 2025 at 05:05, an incident occurred at IT Server Room. Foreign object in eye from grinding debris Cameron Ward from the HR department was involved. Structural collapse in dry dock due to overload. The incident was reported by Rowan Parker."
"crane failure caused a fuel leak to storage area. On 25 January 2025 at 01:35, an incident occurred at Engineering Workshop. The incident was reported by Dakota Sullivan. Foreign object in eye from grinding debris Casey Lewis from the Fleet Management department was involved."
"Structural collapse in pier due to corrosion. Sawyer West from the Dockyard Operations department was involved. Compressed air injury during maintenance On 11 September 2025 at 12:57, an incident occurred at Warehouse A. The incident was reported by Logan Hughes."
"The incident was reported by Emerson Fisher. On 08 March 2024 at 13:42, an incident occurred at Dockyard North. Logan Parker from the Logistics department was involved. crane failure caused a steel beam to drop to ship propeller. Fractured ankle due to fall from scaffolding"
"Chemical burn from solvent exposure Blake Graham from the Warehouse department was involved. The incident was reported by Finley Lee. forklift failure caused a steel beam to drop to ship propeller. On 30 June 2025 at 20:30, an incident occurred at Main Gate Security."
"Oil spill contaminated engine room. Smoke inhalation from fire in electrical bay The incident was reported by Frankie Bennett. Harper Morgan from the Procurement department was involved. On 21 September 2024 at 08:44, an incident occurred at Training Room."
"Dakota Pearson from the IT department was involved. The incident was reported by Taylor Fisher. Fractured ankle due to fall from scaffolding On 05 February 2024 at 20:16, an incident occurred at Maintenance Shed. crane failure caused a steel beam to drop to storage area."
"Structural collapse in shipyard warehouse due to corrosion. Hearing damage from loud machinery On 14 August 2024 at 16:06, an incident occurred at Training Room. Morgan Mitchell from the Security department was involved. The incident was reported by Alex Walker."
"Quinn Bailey from the Health & Safety department was involved. The incident was reported by Taylor Foster. Minor cuts and bruises Structural collapse in pier due to overload. On 20 August 2025 at 10:55, an incident occurred at Fuel Depot."
"Chemical burn from solvent exposure Sydney Hughes from the Facilities department was involved. Structural collapse in pier due to overload. On 22 April 2024 at 02:23, an incident occurred at Office - Admin Block. The incident was reported by Finley Brown."
"The incident was reported by Frankie Walker. Hearing damage from loud machinery On 02 May 2025 at 22:36, an incident occurred at Fleet Garage. grinder failure caused electrical fire to dry dock floor. Kai Pearson from the Logistics department was involved."
"On 21 July 2024 at 03:30, an incident occurred at Dockyard South. Jordan Morgan from the Operations department was involved. Hydraulic fluid spill contaminated paint shop. The incident was reported by Spencer Brown. Trip hazard fall resulting in bruising"
"Structural collapse in shipyard warehouse due to improper maintenance. The incident was reported by Riley Davis. Compressed air injury during maintenance Skyler Ward from the Warehouse department was involved. On 15 March 2025 at 19:06, an incident occurred at Dockyard North."
"On 31 January 2025 at 09:22, an incident occurred at Fleet Garage. Compressed air injury during maintenance Structural collapse in pier due to overload. Jamie Walker from the Health & Safety department was involved. The incident was reported by Drew Allen."
"Chemicals spill contaminated engine room. Riley Walker from the Customer Service department was involved. On 30 January 2024 at 02:06, an incident occurred at Maintenance Shed. The incident was reported by Avery Cooper. Eye irritation from chemical fumes"
"The incident was reported by Jordan Cooper. crane failure caused a fuel leak to storage area. Hearing damage from loud machinery On 01 July 2024 at 00:09, an incident occurred at Office - Admin Block. Alex Robinson from the HR department was involved."
"On 24 October 2024 at 02:11, an incident occurred at Engineering Workshop. The incident was reported by Chris Ward. Hearing damage from loud machinery Structural collapse in dry dock due to overload. Skyler Robinson from the Research & Development department was involved."
"Alex Pearson from the Health & Safety department was involved. On 09 May 2024 at 02:49, an incident occurred at Shipyard Pier. Trip hazard fall resulting in bruising Structural collapse in pier due to corrosion. The incident was reported by Spencer Mitchell."
"The incident was reported by Jamie Sullivan. On 14 June 2024 at 12:17, an incident occurred at Dry Dock 2. Finley Ward from the Logistics department was involved. grinder failure caused a steel beam to drop to dry dock floor. Concussion from falling object"
"crane failure caused a steel beam to drop to dry dock floor. The incident was reported by Reese Sullivan. Heat exhaustion from prolonged outdoor work Jamie Ward from the Communications department was involved. On 20 April 2024 at 16:06, an incident occurred at Dry Dock 2."
"The incident was reported by Sawyer Bailey. Structural collapse in dry dock due to overload. On 14 November 2024 at 05:28, an incident occurred at Fuel Depot. Dislocated shoulder during equipment maintenance Jordan Hughes from the Ship Maintenance department was involved."
"Frankie Bailey from the HR department was involved. The incident was reported by Reese Hughes. Trip hazard fall resulting in bruising Structural collapse in dry dock due to overload. On 16 June 2024 at 02:34, an incident occurred at Dry Dock 2."
"Dislocated shoulder during equipment maintenance The incident was reported by Quinn Parker. Structural collapse in dry dock due to improper maintenance. Morgan Hughes from the Ship Maintenance department was involved. On 29 March 2024 at 22:17, an incident occurred at Training Room."
"On 14 March 2025 at 05:24, an incident occurred at Dockyard South. Structural collapse in dry dock due to overload. Burn from hot welding equipment Alex West from the Procurement department was involved. The incident was reported by Frankie Allen."
"Structural collapse in shipyard warehouse due to corrosion. Eye irritation from chemical fumes The incident was reported by Alex West. Kai Johnson from the Communications department was involved. On 31 August 2025 at 11:45, an incident occurred at IT Server Room."
"Fractured wrist from fall on wet surface Elliot Reed from the Ship Maintenance department was involved. On 08 April 2025 at 09:38, an incident occurred at Shipyard Pier. Oil spill contaminated paint shop. The incident was reported by Peyton Allen."
"Structural collapse in shipyard warehouse due to improper maintenance. Casey West from the Training & Development department was involved. Smoke inhalation from fire in electrical bay The incident was reported by Quinn Brown. On 22 June 2025 at 04:24, an incident occurred at Cafeteria."
"Foreign object in eye from grinding debris On 17 May 2025 at 16:02, an incident occurred at Fuel Depot. Reese Bailey from the Finance department was involved. The incident was reported by Taylor Brown. Structural collapse in dry dock due to corrosion."
"Cameron Smith from the Communications department was involved. The incident was reported by Finley Davis. On 09 July 2025 at 00:41, an incident occurred at Fleet Garage. crane failure caused a fuel leak to ship propeller. Trip hazard fall resulting in bruising"
"Drew West from the Warehouse department was involved. The incident was reported by Morgan Allen. Oil spill contaminated engine room. Crush injury to hand from hydraulic press On 19 February 2025 at 15:04, an incident occurred at Dockyard North."
"Foreign object in eye from grinding debris The incident was reported by Rowan Brown. Morgan Lee from the Procurement department was involved. On 17 October 2024 at 17:22, an incident occurred at Warehouse B. Structural collapse in dry dock due to overload."
"Structural collapse in pier due to improper maintenance. Sydney Morgan from the Engineering department was involved. On 02 May 2024 at 09:17, an incident occurred at Dry Dock 1. The incident was reported by Peyton Bailey. Electric shock from faulty wiring"
"On 18 November 2024 at 22:50, an incident occurred at Paint Shop. The incident was reported by Quinn Brown. Hydraulic fluid spill contaminated paint shop. Logan Ward from the Finance department was involved. Hearing damage from loud machinery"
"The incident was reported by Rowan Reed. Charlie Brown from the Legal department was involved. Trip hazard fall resulting in bruising On 04 November 2024 at 22:48, an incident occurred at Tool Crib. Chemicals spill contaminated engine room."
"Eye irritation from chemical fumes Alex Smith from the Security department was involved. The incident was reported by Skyler Parker. Hydraulic fluid spill contaminated engine room. On 04 March 2024 at 23:00, an incident occurred at Engineering Workshop."
"The incident was reported by Riley West. Chemicals spill contaminated dock area. Laceration from sharp metal panel Emerson West from the Engineering department was involved. On 22 August 2025 at 01:15, an incident occurred at Tool Crib."
"On 01 March 2024 at 13:43, an incident occurred at Paint Shop. The incident was reported by Morgan Murray. Casey Fisher from the Logistics department was involved. Severe abrasion from slip on deck Structural collapse in shipyard warehouse due to corrosion."
"On 09 August 2025 at 12:36, an incident occurred at Warehouse B. forklift failure caused a fuel leak to dry dock floor. Crush injury to hand from hydraulic press Jordan Reed from the IT department was involved. The incident was reported by Alex Johnson."
"Morgan Davis from the IT department was involved. Chemicals spill contaminated paint shop. On 14 August 2025 at 10:05, an incident occurred at Cafeteria. The incident was reported by Logan Murphy. Heat exhaustion from prolonged outdoor work"
"crane failure caused a fuel leak to ship propeller. Eye irritation from chemical fumes Riley Ward from the IT department was involved. On 23 July 2024 at 21:04, an incident occurred at Maintenance Shed. The incident was reported by Sawyer Bailey."
"Jordan Lewis from the Engineering department was involved. Hydraulic fluid spill contaminated engine room. On 25 September 2024 at 15:09, an incident occurred at Dockyard North. Concussion from falling object The incident was reported by Reese Sullivan."
"Oil spill contaminated dock area. Jordan Bennett from the Security department was involved. On 31 July 2025 at 00:38, an incident occurred at Shipyard Pier. Trip hazard fall resulting in bruising The incident was reported by Finley Allen."
"Fractured ankle due to fall from scaffolding Alex Johnson from the Ship Maintenance department was involved. On 21 February 2025 at 07:31, an incident occurred at IT Server Room. Structural collapse in dry dock due to overload. The incident was reported by Skyler Graham."
"On 13 October 2024 at 17:47, an incident occurred at Reception Area. Smoke inhalation from fire in electrical bay crane failure caused a steel beam to drop to storage area. Dakota Morgan from the Health & Safety department was involved. The incident was reported by Alex Holmes."
"On 16 February 2025 at 17:52, an incident occurred at Reception Area. The incident was reported by Logan Foster. Smoke inhalation from fire in electrical bay Alex Sullivan from the IT department was involved. grinder failure caused a fuel leak to ship propeller."
"Frankie Robinson from the Facilities department was involved. The incident was reported by Emerson Morgan. Hearing damage from loud machinery grinder failure caused a steel beam to drop to ship propeller. On 11 August 2024 at 02:50, an incident occurred at Maintenance Shed."
"Drew Sullivan from the Logistics department was involved. Foreign object in eye from grinding debris The incident was reported by Jordan Clark. Structural collapse in dry dock due to overload. On 30 November 2024 at 02:17, an incident occurred at Main Gate Security."
"Concussion from falling object Structural collapse in dry dock due to corrosion. Alex Lee from the Health & Safety department was involved. On 04 December 2024 at 22:02, an incident occurred at Electrical Bay. The incident was reported by Taylor Bailey."
"Structural collapse in dry dock due to overload. Hearing damage from loud machinery Morgan Graham from the Ship Maintenance department was involved. The incident was reported by Charlie Murray. On 26 May 2024 at 03:07, an incident occurred at Office - Admin Block."
"Finley Smith from the Security department was involved. crane failure caused a fuel leak to dry dock floor. The incident was reported by Charlie Parker. On 13 September 2025 at 01:58, an incident occurred at Maintenance Shed. Compressed air injury during maintenance"
"The incident was reported by Dakota Kennedy. crane failure caused a fuel leak to ship propeller. On 13 May 2024 at 23:45, an incident occurred at Shipyard Pier. Skyler Morgan from the Research & Development department was involved. Dislocated shoulder during equipment maintenance"
"Harper Cooper from the Environmental Services department was involved. Structural collapse in pier due to overload. Foreign object in eye from grinding debris On 30 September 2024 at 00:11, an incident occurred at Warehouse A. The incident was reported by Avery Murphy."
"The incident was reported by Rowan Kennedy. On 01 April 2025 at 07:05, an incident occurred at Main Gate Security. Hearing damage from loud machinery Kai Robinson from the Legal department was involved. Structural collapse in shipyard warehouse due to improper maintenance."
"Compressed air injury during maintenance On 13 September 2025 at 08:19, an incident occurred at Warehouse B. crane failure caused electrical fire to storage area. Cameron Kennedy from the Fleet Management department was involved. The incident was reported by Emerson Clark."
"On 21 November 2024 at 02:47, an incident occurred at Tool Crib. Chemicals spill contaminated paint shop. The incident was reported by Jordan Graham. Eye irritation from chemical fumes Finley Morgan from the Operations department was involved."
"The incident was reported by Jamie Allen. Casey Walker from the Quality Assurance department was involved. Hearing damage from loud machinery On 20 April 2024 at 01:12, an incident occurred at Office - Admin Block. Chemicals spill contaminated engine room."
"The incident was reported by Alex Ward. Emerson Fisher from the Legal department was involved. Compressed air injury during maintenance On 03 August 2024 at 19:21, an incident occurred at Maintenance Shed. Structural collapse in dry dock due to overload."
"On 28 May 2025 at 00:32, an incident occurred at Main Gate Security. Structural collapse in pier due to improper maintenance. Avery Mitchell from the Warehouse department was involved. Compressed air injury during maintenance The incident was reported by Rowan Hughes."
"Oil spill contaminated engine room. On 28 May 2025 at 00:25, an incident occurred at Office - Admin Block. Fractured wrist from fall on wet surface Morgan Davis from the Fleet Management department was involved. The incident was reported by Jamie Smith."
"forklift failure caused a fuel leak to storage area. On 11 December 2024 at 05:43, an incident occurred at Engineering Workshop. The incident was reported by Frankie Davis. Minor cuts and bruises Logan Johnson from the Engineering department was involved."
"On 22 January 2024 at 11:51, an incident occurred at Paint Shop. The incident was reported by Elliot Robinson. Crush injury to hand from hydraulic press Frankie West from the Facilities department was involved. Chemicals spill contaminated dock area."
"Cameron Brown from the Fleet Management department was involved. Structural collapse in dry dock due to overload. The incident was reported by Logan Holmes. Burn from hot welding equipment On 08 January 2024 at 10:22, an incident occurred at Fleet Garage."
"Blake Johnson from the Warehouse department was involved. Smoke inhalation from fire in electrical bay On 29 March 2024 at 07:29, an incident occurred at Reception Area. The incident was reported by Peyton Clark. Structural collapse in shipyard warehouse due to corrosion."
"On 03 March 2025 at 01:33, an incident occurred at Warehouse B. Logan Hughes from the Dockyard Operations department was involved. The incident was reported by Kai Cooper. forklift failure caused a fuel leak to dry dock floor. Chemical burn from solvent exposure"
"On 04 April 2025 at 16:17, an incident occurred at Maintenance Shed. The incident was reported by Avery Ward. Eye irritation from chemical fumes Structural collapse in dry dock due to overload. Quinn Sullivan from the Training & Development department was involved."
"Compressed air injury during maintenance Quinn Lee from the Engineering department was involved. The incident was reported by Logan Morgan. grinder failure caused electrical fire to ship propeller. On 09 January 2025 at 22:40, an incident occurred at Office - Admin Block."
"The incident was reported by Reese Pearson. Structural collapse in pier due to overload. Harper Foster from the Engineering department was involved. On 26 June 2025 at 15:47, an incident occurred at Dry Dock 2. Hearing damage from loud machinery"
"Avery West from the Fleet Management department was involved. On 10 January 2025 at 18:05, an incident occurred at Dockyard North. The incident was reported by Jesse Allen. Chemical burn from solvent exposure Chemicals spill contaminated dock area."
"Frankie Fisher from the Procurement department was involved. The incident was reported by Harper Lee. Dislocated shoulder during equipment maintenance On 03 December 2024 at 00:47, an incident occurred at Dockyard South. Structural collapse in dry dock due to corrosion."
"Hydraulic fluid spill contaminated paint shop. Taylor West from the Research & Development department was involved. The incident was reported by Rowan Walker. Trip hazard fall resulting in bruising On 17 July 2025 at 17:55, an incident occurred at Office - Admin Block."
"Skyler Cooper from the Environmental Services department was involved. Structural collapse in pier due to improper maintenance. Smoke inhalation from fire in electrical bay The incident was reported by Emerson Morgan. On 08 June 2025 at 17:32, an incident occurred at Fleet Garage."
"On 23 December 2024 at 02:55, an incident occurred at Engineering Workshop. Oil spill contaminated paint shop. Finley Morgan from the Legal department was involved. The incident was reported by Cameron Bennett. Burn from hot welding equipment"
"Reese Johnson from the Quality Assurance department was involved. The incident was reported by Finley Foster. On 23 January 2024 at 02:43, an incident occurred at Paint Shop. Structural collapse in dry dock due to improper maintenance. Smoke inhalation from fire in electrical bay"
"Chemicals spill contaminated paint shop. The incident was reported by Drew Ward. On 05 December 2024 at 10:04, an incident occurred at Engineering Workshop. Frankie Cooper from the Security department was involved. Burn from hot welding equipment"
"On 01 October 2024 at 14:26, an incident occurred at Office - Admin Block. Peyton Fisher from the HR department was involved. The incident was reported by Sawyer Parker. grinder failure caused a fuel leak to ship propeller. Minor cuts and bruises"
"Compressed air injury during maintenance The incident was reported by Charlie Fisher. On 11 February 2025 at 08:43, an incident occurred at Reception Area. Alex Allen from the Health & Safety department was involved. Oil spill contaminated engine room."
"The incident was reported by Elliot Robinson. Minor cuts and bruises Spencer Clark from the Engineering department was involved. On 06 November 2024 at 10:22, an incident occurred at Reception Area. forklift failure caused a steel beam to drop to ship propeller."
"On 25 August 2024 at 14:43, an incident occurred at Cafeteria. Rowan Robinson from the Warehouse department was involved. Chemicals spill contaminated paint shop. Concussion from falling object The incident was reported by Finley Morgan."
"The incident was reported by Charlie Graham. Electric shock from faulty wiring On 07 April 2024 at 03:16, an incident occurred at Dry Dock 2. Oil spill contaminated dock area. Jesse Murphy from the Research & Development department was involved."
"Chemical burn from solvent exposure On 23 May 2024 at 01:11, an incident occurred at Fleet Garage. Morgan Brown from the Health & Safety department was involved. Hydraulic fluid spill contaminated paint shop. The incident was reported by Cameron Parker."
"The incident was reported by Dakota Payne. Reese Hughes from the Logistics department was involved. On 10 May 2025 at 21:30, an incident occurred at Reception Area. Heat exhaustion from prolonged outdoor work grinder failure caused electrical fire to dry dock floor."
"On 31 January 2025 at 17:02, an incident occurred at Cafeteria. The incident was reported by Jamie Lewis. Structural collapse in pier due to overload. Quinn Bailey from the Dockyard Operations department was involved. Crush injury to hand from hydraulic press"
"The incident was reported by Rowan Walker. Structural collapse in pier due to corrosion. Spencer Smith from the Quality Assurance department was involved. On 06 September 2025 at 13:24, an incident occurred at IT Server Room. Fractured ankle due to fall from scaffolding"
"The incident was reported by Sydney Holmes. On 21 July 2024 at 02:42, an incident occurred at Tool Crib. Finley Ward from the IT department was involved. crane failure caused electrical fire to dry dock floor. Hearing damage from loud machinery"
"On 14 February 2024 at 09:34, an incident occurred at Dry Dock 1. Burn from hot welding equipment Structural collapse in pier due to overload. Logan Kennedy from the Security department was involved. The incident was reported by Riley Fisher."
"Structural collapse in dry dock due to corrosion. Cameron Cooper from the Dockyard Operations department was involved. Puncture wound from misplaced tool On 30 September 2024 at 16:06, an incident occurred at Office - Admin Block. The incident was reported by Cameron Smith."
"Reese Mitchell from the Customer Service department was involved. Back strain from improper lifting On 11 April 2025 at 11:20, an incident occurred at Dry Dock 2. Structural collapse in shipyard warehouse due to overload. The incident was reported by Riley Mitchell."
"Sawyer Morgan from the Procurement department was involved. Electric shock from faulty wiring Structural collapse in dry dock due to corrosion. On 08 February 2024 at 17:03, an incident occurred at Maintenance Shed. The incident was reported by Sydney Hughes."
