reporter_name,person_involved,incident_date,incident_time,department,incident_description,location,label,was_injured,injury_description
Reese Ward,Peyton Mitchell,24 July 2024,08:18,Research & Development,Hydraulic fluid spill contaminated dock area.,Warehouse A,Incident,Yes,Foreign object in eye from grinding debris
Avery Graham,Rowan Allen,03 June 2025,11:39,Logistics,crane failure caused a steel beam to drop to storage area.,Engineering Workshop,Incident,Yes,Crush injury to hand from hydraulic press
Elliot Allen,Jesse Pearson,13 March 2024,09:37,Ship Maintenance,forklift failure caused a fuel leak to ship propeller.,Engineering Workshop,Incident,Yes,Fractured ankle due to fall from scaffolding
Finley Fisher,Jesse Cooper,16 March 2024,06:35,Legal,Structural collapse in dry dock due to corrosion.,Electrical Bay,Incident,Yes,Fractured ankle due to fall from scaffolding
Blake Robinson,Morgan Mitchell,27 June 2024,14:50,Warehouse,Structural collapse in dry dock due to improper maintenance.,Fuel Depot,Incident,Yes,Trip hazard fall resulting in bruising
Harper Hughes,Morgan Payne,02 September 2024,01:41,Dockyard Operations,crane failure caused a fuel leak to dry dock floor.,Tool Crib,Incident,Yes,Back strain from improper lifting
Chris Allen,Avery Bailey,30 September 2024,05:04,Health & Safety,Structural collapse in dry dock due to corrosion.,Main Gate Security,Incident,Yes,Heat exhaustion from prolonged outdoor work
Peyton Payne,Cameron Allen,07 January 2025,14:57,Ship Maintenance,crane failure caused electrical fire to ship propeller.,Warehouse B,Incident,Yes,Compressed air injury during maintenance
Skyler Cooper,Casey Mitchell,19 July 2025,08:40,Engineering,Hydraulic fluid spill contaminated dock area.,Paint Shop,Incident,Yes,Puncture wound from misplaced tool
Harper Foster,Cameron Bailey,21 September 2024,07:15,Quality Assurance,Structural collapse in pier due to corrosion.,Reception Area,Incident,Yes,Trip hazard fall resulting in bruising
Riley Reed,Harper Foster,06 February 2025,04:08,Communications,Structural collapse in dry dock due to improper maintenance.,Training Room,Incident,Yes,Electric shock from faulty wiring
Jordan Johnson,Blake Robinson,14 July 2024,15:13,Quality Assurance,Oil spill contaminated engine room.,Paint Shop,Incident,Yes,Fractured ankle due to fall from scaffolding
Rowan Smith,Emerson Murray,18 January 2024,16:16,Research & Development,forklift failure caused a steel beam to drop to ship propeller.,Fleet Garage,Incident,Yes,Eye irritation from chemical fumes
Blake Allen,Frankie Parker,16 November 2024,04:31,Legal,grinder failure caused electrical fire to ship propeller.,Warehouse A,Incident,Yes,Heat exhaustion from prolonged outdoor work
Peyton West,Taylor Graham,27 May 2024,15:11,Ship Maintenance,Chemicals spill contaminated paint shop.,Dockyard South,Incident,Yes,Heat exhaustion from prolonged outdoor work
Blake Ward,Chris Holmes,09 March 2024,12:19,Environmental Services,Oil spill contaminated engine room.,Fuel Depot,Incident,Yes,Laceration from sharp metal panel
Charlie Fisher,Peyton Robinson,07 August 2024,10:43,Quality Assurance,Structural collapse in shipyard warehouse due to corrosion.,Engineering Workshop,Incident,Yes,Smoke inhalation from fire in electrical bay
Sydney Clark,Jordan Mitchell,24 February 2024,14:25,Security,Structural collapse in shipyard warehouse due to corrosion.,Fleet Garage,Incident,Yes,Electric shock from faulty wiring
Emerson Davis,Finley Smith,12 March 2025,16:21,Fleet Management,crane failure caused a fuel leak to storage area.,Paint Shop,Incident,Yes,Dislocated shoulder during equipment maintenance
Sawyer Reed,Emerson Smith,18 February 2024,17:40,Fleet Management,forklift failure caused a fuel leak to ship propeller.,Dry Dock 2,Incident,Yes,Minor cuts and bruises
Finley Mitchell,Charlie Smith,29 November 2024,23:29,Engineering,forklift failure caused electrical fire to storage area.,Maintenance Shed,Incident,Yes,Back strain from improper lifting
Drew Sullivan,Blake Johnson,06 December 2024,03:29,Operations,Structural collapse in dry dock due to corrosion.,Dockyard North,Incident,Yes,Compressed air injury during maintenance
Quinn Allen,Finley Graham,24 May 2025,19:02,Warehouse,Chemicals spill contaminated engine room.,Reception Area,Incident,Yes,Electric shock from faulty wiring
Avery Cooper,Harper Morgan,23 June 2025,08:53,Procurement,crane failure caused electrical fire to storage area.,Fuel Depot,Incident,Yes,Laceration from sharp metal panel
Logan Mitchell,Avery Bailey,20 March 2024,03:45,Customer Service,Structural collapse in dry dock due to improper maintenance.,Tool Crib,Incident,Yes,Foreign object in eye from grinding debris
Dakota Graham,Dakota Johnson,05 March 2025,05:23,Training & Development,forklift failure caused a fuel leak to storage area.,Cafeteria,Incident,Yes,Puncture wound from misplaced tool
Avery Kennedy,Morgan Johnson,11 February 2024,17:06,Training & Development,Structural collapse in pier due to overload.,Reception Area,Incident,Yes,Crush injury to hand from hydraulic press
Riley Sullivan,Reese Davis,10 November 2024,11:12,Ship Maintenance,Hydraulic fluid spill contaminated engine room.,Electrical Bay,Incident,Yes,Concussion from falling object
Drew Lee,Drew Ward,21 July 2025,23:54,Health & Safety,forklift failure caused a steel beam to drop to ship propeller.,Training Room,Incident,Yes,Smoke inhalation from fire in electrical bay
Frankie Johnson,Chris Walker,02 November 2024,14:38,Customer Service,forklift failure caused electrical fire to dry dock floor.,Office - Admin Block,Incident,Yes,Back strain from improper lifting
Rowan Murray,Jordan Holmes,26 July 2024,22:26,Logistics,forklift failure caused a fuel leak to dry dock floor.,Fleet Garage,Incident,Yes,Fractured ankle due to fall from scaffolding
Alex Pearson,Drew Lewis,02 August 2025,06:21,Training & Development,grinder failure caused electrical fire to ship propeller.,Dockyard South,Incident,Yes,Laceration from sharp metal panel
Harper Hughes,Cameron Reed,07 March 2025,01:33,Facilities,Structural collapse in shipyard warehouse due to corrosion.,Engineering Workshop,Incident,Yes,Crush injury to hand from hydraulic press
Cameron Foster,Skyler Murray,17 February 2024,13:05,Environmental Services,Oil spill contaminated engine room.,Office - Admin Block,Incident,Yes,Concussion from falling object
Peyton Clark,Elliot West,27 May 2025,14:57,Research & Development,grinder failure caused a fuel leak to dry dock floor.,Office - Admin Block,Incident,Yes,Electric shock from faulty wiring
Drew Cooper,Avery Bennett,21 February 2024,19:17,HR,Hydraulic fluid spill contaminated engine room.,Shipyard Pier,Incident,Yes,Heat exhaustion from prolonged outdoor work
Jesse Smith,Jesse Clark,26 December 2024,21:46,Communications,grinder failure caused electrical fire to storage area.,Shipyard Pier,Incident,Yes,Hearing damage from loud machinery
Emerson Reed,Chris Parker,11 June 2025,15:26,IT,Hydraulic fluid spill contaminated engine room.,Warehouse A,Incident,Yes,Puncture wound from misplaced tool
Sawyer Bailey,Jamie Lee,05 February 2025,20:26,Security,Structural collapse in pier due to improper maintenance.,Main Gate Security,Incident,Yes,Hearing damage from loud machinery
Reese Bailey,Riley Holmes,07 February 2024,08:51,Finance,crane failure caused a steel beam to drop to ship propeller.,Shipyard Pier,Incident,Yes,Dislocated shoulder during equipment maintenance
Emerson Reed,Reese Holmes,03 May 2024,20:49,IT,Oil spill contaminated paint shop.,Warehouse B,Incident,Yes,Chemical burn from solvent exposure
Cameron Holmes,Taylor Lewis,13 April 2025,09:24,Engineering,Structural collapse in shipyard warehouse due to overload.,Cafeteria,Incident,Yes,Laceration from sharp metal panel
Avery Hughes,Reese Smith,01 May 2024,11:02,Ship Maintenance,forklift failure caused a fuel leak to ship propeller.,Main Gate Security,Incident,Yes,Burn from hot welding equipment
Emerson Cooper,Elliot Davis,18 February 2024,19:02,Research & Development,Structural collapse in shipyard warehouse due to overload.,Fleet Garage,Incident,Yes,Smoke inhalation from fire in electrical bay
Sawyer Fisher,Quinn Allen,15 November 2024,00:40,Engineering,Oil spill contaminated dock area.,Training Room,Incident,Yes,Chemical burn from solvent exposure
Cameron Foster,Skyler Kennedy,28 September 2024,02:06,HR,crane failure caused electrical fire to storage area.,Dockyard North,Incident,Yes,Crush injury to hand from hydraulic press
Alex Kennedy,Chris West,03 November 2024,16:20,Procurement,Chemicals spill contaminated engine room.,Main Gate Security,Incident,Yes,Concussion from falling object
Quinn Sullivan,Drew Mitchell,27 July 2025,21:16,Facilities,grinder failure caused electrical fire to storage area.,Office - Admin Block,Incident,Yes,Eye irritation from chemical fumes
Drew Brown,Jesse Clark,26 February 2024,21:16,Customer Service,Structural collapse in dry dock due to corrosion.,Dockyard North,Incident,Yes,Electric shock from faulty wiring
Finley West,Morgan Mitchell,19 May 2024,16:21,Communications,Hydraulic fluid spill contaminated dock area.,Dry Dock 2,Incident,Yes,Dislocated shoulder during equipment maintenance
Sawyer West,Finley Davis,11 May 2025,14:21,Facilities,forklift failure caused a fuel leak to dry dock floor.,Reception Area,Incident,Yes,Laceration from sharp metal panel
Jordan Kennedy,Kai Lee,17 December 2024,06:34,HR,grinder failure caused a steel beam to drop to dry dock floor.,Dry Dock 1,Incident,Yes,Dislocated shoulder during equipment maintenance
Avery Bennett,Drew Bennett,02 November 2024,17:40,Logistics,forklift failure caused a steel beam to drop to ship propeller.,Main Gate Security,Incident,Yes,Crush injury to hand from hydraulic press
Avery Payne,Elliot Kennedy,08 September 2024,21:22,Security,forklift failure caused electrical fire to dry dock floor.,Main Gate Security,Incident,Yes,Laceration from sharp metal panel
Spencer Mitchell,Frankie West,12 November 2024,12:58,Warehouse,forklift failure caused electrical fire to dry dock floor.,Warehouse B,Incident,Yes,Electric shock from faulty wiring
Avery Morgan,Sydney Fisher,28 May 2025,01:41,Ship Maintenance,Structural collapse in shipyard warehouse due to corrosion.,Warehouse A,Incident,Yes,Chemical burn from solvent exposure
Emerson Brown,Kai Morgan,14 August 2025,02:42,Dockyard Operations,grinder failure caused electrical fire to ship propeller.,Paint Shop,Incident,Yes,Fractured wrist from fall on wet surface
Sawyer Johnson,Spencer Hughes,25 May 2024,11:20,Engineering,Structural collapse in shipyard warehouse due to corrosion.,Main Gate Security,Incident,Yes,Foreign object in eye from grinding debris
Peyton West,Casey Walker,08 March 2025,11:59,Engineering,Hydraulic fluid spill contaminated engine room.,Maintenance Shed,Incident,Yes,Compressed air injury during maintenance
Elliot Foster,Cameron Lewis,01 February 2024,10:00,Facilities,crane failure caused a fuel leak to dry dock floor.,Tool Crib,Incident,Yes,Dislocated shoulder during equipment maintenance
Sydney Brown,Elliot Fisher,27 July 2024,09:41,Procurement,Oil spill contaminated dock area.,Main Gate Security,Incident,Yes,Hearing damage from loud machinery
Logan Mitchell,Skyler Clark,04 November 2024,20:14,Dockyard Operations,Oil spill contaminated dock area.,Shipyard Pier,Incident,Yes,Severe abrasion from slip on deck
Kai Johnson,Spencer Smith,10 December 2024,01:44,Health & Safety,grinder failure caused electrical fire to ship propeller.,Training Room,Incident,Yes,Smoke inhalation from fire in electrical bay
Sawyer Smith,Harper Payne,15 April 2024,00:56,Logistics,Chemicals spill contaminated dock area.,IT Server Room,Incident,Yes,Fractured ankle due to fall from scaffolding
Alex Johnson,Avery Morgan,05 March 2024,22:15,Finance,Structural collapse in pier due to corrosion.,Paint Shop,Incident,Yes,Laceration from sharp metal panel
Frankie West,Cameron Cooper,22 June 2024,07:18,Operations,Structural collapse in pier due to improper maintenance.,Training Room,Incident,Yes,Puncture wound from misplaced tool
Emerson Mitchell,Alex Pearson,19 January 2025,05:53,Ship Maintenance,Structural collapse in shipyard warehouse due to improper maintenance.,Maintenance Shed,Incident,Yes,Compressed air injury during maintenance
Taylor Kennedy,Kai Pearson,16 September 2024,10:51,Communications,Hydraulic fluid spill contaminated dock area.,Training Room,Incident,Yes,Eye irritation from chemical fumes
Elliot Foster,Quinn Robinson,11 July 2024,17:58,Engineering,crane failure caused a steel beam to drop to storage area.,Maintenance Shed,Incident,Yes,Severe abrasion from slip on deck
Casey Murphy,Peyton Bennett,20 January 2025,21:39,Logistics,Structural collapse in dry dock due to corrosion.,Fleet Garage,Incident,Yes,Hearing damage from loud machinery
Taylor Foster,Harper Allen,15 September 2025,19:01,Legal,forklift failure caused a steel beam to drop to storage area.,Maintenance Shed,Incident,Yes,Eye irritation from chemical fumes
Reese Ward,Drew Lewis,25 May 2024,00:45,Training & Development,Structural collapse in shipyard warehouse due to overload.,Shipyard Pier,Incident,Yes,Concussion from falling object
Dakota Johnson,Harper Foster,16 February 2024,13:04,Dockyard Operations,Structural collapse in dry dock due to overload.,Warehouse A,Incident,Yes,Dislocated shoulder during equipment maintenance
Jamie Walker,Morgan Cooper,05 December 2024,18:45,IT,grinder failure caused a fuel leak to storage area.,Paint Shop,Incident,Yes,Compressed air injury during maintenance
Reese Smith,Avery Graham,04 August 2025,08:46,Health & Safety,Structural collapse in pier due to corrosion.,Dry Dock 1,Incident,Yes,Puncture wound from misplaced tool
Emerson Sullivan,Charlie Brown,01 May 2024,19:32,Finance,Oil spill contaminated paint shop.,Dry Dock 2,Incident,Yes,Back strain from improper lifting
Jesse Brown,Chris Clark,21 May 2024,22:07,Customer Service,Chemicals spill contaminated paint shop.,Electrical Bay,Incident,Yes,Smoke inhalation from fire in electrical bay
Charlie Smith,Taylor Allen,09 October 2024,20:43,HR,Chemicals spill contaminated engine room.,Engineering Workshop,Incident,Yes,Concussion from falling object
Alex Lee,Peyton Robinson,10 July 2025,00:04,Fleet Management,Structural collapse in dry dock due to overload.,Reception Area,Incident,Yes,Smoke inhalation from fire in electrical bay
Finley Robinson,Charlie Foster,29 January 2024,16:08,Customer Service,Chemicals spill contaminated dock area.,Electrical Bay,Incident,Yes,Trip hazard fall resulting in bruising
Peyton Murray,Elliot Graham,07 May 2024,03:59,Engineering,Hydraulic fluid spill contaminated paint shop.,Engineering Workshop,Incident,Yes,Dislocated shoulder during equipment maintenance
Logan Bailey,Reese Johnson,11 April 2024,17:36,IT,crane failure caused a steel beam to drop to ship propeller.,Reception Area,Incident,Yes,Dislocated shoulder during equipment maintenance
Rowan Murray,Cameron Payne,08 March 2024,13:16,Health & Safety,Structural collapse in dry dock due to improper maintenance.,Shipyard Pier,Incident,Yes,Hearing damage from loud machinery
Quinn Murray,Emerson Robinson,06 July 2025,07:25,Facilities,Structural collapse in shipyard warehouse due to corrosion.,Electrical Bay,Incident,Yes,Fractured wrist from fall on wet surface
Chris Murray,Alex Foster,16 July 2024,13:53,Fleet Management,Oil spill contaminated dock area.,Cafeteria,Incident,Yes,Electric shock from faulty wiring
Kai Lee,Logan Davis,07 April 2024,09:57,Customer Service,Hydraulic fluid spill contaminated engine room.,Engineering Workshop,Incident,Yes,Crush injury to hand from hydraulic press
Charlie Davis,Dakota Reed,14 July 2025,14:33,Legal,Structural collapse in shipyard warehouse due to corrosion.,Dockyard North,Incident,Yes,Minor cuts and bruises
Sydney Brown,Jamie Murphy,15 February 2024,15:10,Procurement,Structural collapse in shipyard warehouse due to corrosion.,Main Gate Security,Incident,Yes,Dislocated shoulder during equipment maintenance
Finley Lewis,Reese Holmes,28 March 2025,01:00,Quality Assurance,grinder failure caused a fuel leak to storage area.,Electrical Bay,Incident,Yes,Burn from hot welding equipment
Dakota Murphy,Drew Graham,13 July 2024,07:39,Customer Service,Oil spill contaminated paint shop.,Fleet Garage,Incident,Yes,Compressed air injury during maintenance
Kai Parker,Charlie Holmes,29 April 2025,22:15,IT,forklift failure caused a steel beam to drop to ship propeller.,Training Room,Incident,Yes,Fractured ankle due to fall from scaffolding
Frankie Davis,Riley Fisher,24 March 2024,09:38,Facilities,crane failure caused a fuel leak to dry dock floor.,Dry Dock 1,Incident,Yes,Smoke inhalation from fire in electrical bay
Sawyer Mitchell,Emerson Murphy,18 February 2025,08:06,Warehouse,Hydraulic fluid spill contaminated engine room.,Training Room,Incident,Yes,Chemical burn from solvent exposure
Skyler Bailey,Jesse Brown,29 August 2025,21:15,IT,Structural collapse in shipyard warehouse due to overload.,Fleet Garage,Incident,Yes,Fractured ankle due to fall from scaffolding
Finley Hughes,Sydney West,08 March 2025,01:59,Training & Development,Chemicals spill contaminated engine room.,IT Server Room,Incident,Yes,Hearing damage from loud machinery
Riley Ward,Morgan Robinson,28 March 2024,11:07,Facilities,crane failure caused a fuel leak to dry dock floor.,Dry Dock 1,Incident,Yes,Minor cuts and bruises
Finley Bailey,Avery Holmes,24 November 2024,11:41,Finance,Structural collapse in shipyard warehouse due to improper maintenance.,Maintenance Shed,Incident,Yes,Trip hazard fall resulting in bruising
Emerson Bennett,Logan Graham,08 August 2025,14:08,Security,Oil spill contaminated dock area.,IT Server Room,Incident,Yes,Compressed air injury during maintenance
Taylor Walker,Spencer Ward,14 April 2025,04:45,Legal,Structural collapse in pier due to improper maintenance.,Tool Crib,Incident,Yes,Compressed air injury during maintenance
Sawyer Walker,Charlie Reed,19 July 2024,13:22,Logistics,Structural collapse in shipyard warehouse due to corrosion.,Main Gate Security,Incident,Yes,Puncture wound from misplaced tool
Alex Morgan,Logan Smith,19 August 2024,01:25,Research & Development,Hydraulic fluid spill contaminated paint shop.,Tool Crib,Incident,Yes,Fractured ankle due to fall from scaffolding
Frankie Brown,Sydney Hughes,03 November 2024,19:19,Legal,Hydraulic fluid spill contaminated dock area.,Dry Dock 2,Incident,Yes,Severe abrasion from slip on deck
Harper Davis,Charlie Lee,30 January 2025,23:00,Procurement,Oil spill contaminated engine room.,IT Server Room,Incident,Yes,Fractured ankle due to fall from scaffolding
Finley Mitchell,Kai Lee,24 March 2024,17:12,Health & Safety,Structural collapse in shipyard warehouse due to overload.,Warehouse B,Incident,Yes,Chemical burn from solvent exposure
Chris Foster,Sawyer Morgan,11 October 2024,09:24,Engineering,Chemicals spill contaminated paint shop.,Dockyard South,Incident,Yes,Fractured wrist from fall on wet surface
Quinn Fisher,Emerson Cooper,04 September 2025,22:12,Security,Structural collapse in shipyard warehouse due to improper maintenance.,Electrical Bay,Incident,Yes,Foreign object in eye from grinding debris
Emerson Graham,Drew Lewis,02 May 2025,03:40,Warehouse,Chemicals spill contaminated paint shop.,Cafeteria,Incident,Yes,Fractured ankle due to fall from scaffolding
Jamie Walker,Drew Murray,09 August 2025,04:07,Quality Assurance,Structural collapse in dry dock due to corrosion.,Maintenance Shed,Incident,Yes,Heat exhaustion from prolonged outdoor work
Spencer Clark,Cameron Pearson,24 February 2025,18:31,Fleet Management,crane failure caused a fuel leak to dry dock floor.,Tool Crib,Incident,Yes,Minor cuts and bruises
Blake Cooper,Blake Holmes,15 June 2024,03:55,Procurement,Structural collapse in shipyard warehouse due to overload.,Cafeteria,Incident,Yes,Fractured wrist from fall on wet surface
Blake West,Jamie Lee,25 June 2025,03:35,Logistics,crane failure caused a steel beam to drop to storage area.,Cafeteria,Incident,Yes,Chemical burn from solvent exposure
Spencer Davis,Skyler Brown,23 June 2025,22:15,Legal,Oil spill contaminated paint shop.,Dry Dock 2,Incident,Yes,Minor cuts and bruises
Sawyer Robinson,Reese Sullivan,10 July 2024,14:14,Operations,Structural collapse in pier due to improper maintenance.,Fuel Depot,Incident,Yes,Eye irritation from chemical fumes
Kai Robinson,Quinn Bailey,25 March 2025,04:38,Finance,Oil spill contaminated dock area.,Fuel Depot,Incident,Yes,Severe abrasion from slip on deck
Morgan Robinson,Cameron Holmes,10 July 2024,14:50,Ship Maintenance,Chemicals spill contaminated dock area.,Paint Shop,Incident,Yes,Dislocated shoulder during equipment maintenance
Avery Clark,Spencer Lee,02 November 2024,04:51,HR,Structural collapse in shipyard warehouse due to overload.,Warehouse A,Incident,Yes,Crush injury to hand from hydraulic press
Cameron Mitchell,Riley Murphy,13 April 2024,22:39,Facilities,Structural collapse in shipyard warehouse due to corrosion.,Warehouse B,Incident,Yes,Chemical burn from solvent exposure
Finley Murray,Reese Murray,05 August 2024,19:28,IT,crane failure caused electrical fire to dry dock floor.,Fleet Garage,Incident,Yes,Chemical burn from solvent exposure
Emerson Kennedy,Elliot Brown,27 April 2024,19:59,Security,Chemicals spill contaminated engine room.,Fuel Depot,Incident,Yes,Minor cuts and bruises
Alex Holmes,Jordan Davis,02 September 2024,04:00,Legal,Oil spill contaminated paint shop.,Maintenance Shed,Incident,Yes,Minor cuts and bruises
Jesse Fisher,Finley Lewis,21 May 2024,04:01,Research & Development,Hydraulic fluid spill contaminated dock area.,Reception Area,Incident,Yes,Trip hazard fall resulting in bruising
Charlie Smith,Kai Murray,04 April 2025,22:08,Finance,crane failure caused a steel beam to drop to storage area.,Fuel Depot,Incident,Yes,Crush injury to hand from hydraulic press
Avery Bailey,Quinn Mitchell,28 January 2024,20:13,Facilities,Structural collapse in pier due to corrosion.,Dry Dock 1,Incident,Yes,Smoke inhalation from fire in electrical bay
Frankie West,Sydney West,09 July 2025,06:46,Security,Hydraulic fluid spill contaminated dock area.,Dockyard South,Incident,Yes,Compressed air injury during maintenance
Quinn Smith,Jamie Walker,24 March 2024,07:11,Dockyard Operations,Structural collapse in shipyard warehouse due to corrosion.,Reception Area,Incident,Yes,Hearing damage from loud machinery
Finley Smith,Emerson Pearson,14 January 2024,06:22,Security,Structural collapse in shipyard warehouse due to overload.,Electrical Bay,Incident,Yes,Dislocated shoulder during equipment maintenance
Quinn Reed,Jamie Cooper,30 August 2025,10:34,Ship Maintenance,Oil spill contaminated paint shop.,Warehouse B,Incident,Yes,Puncture wound from misplaced tool
Alex Graham,Jordan Foster,03 January 2024,18:19,Ship Maintenance,Oil spill contaminated paint shop.,Training Room,Incident,Yes,Back strain from improper lifting
Morgan West,Avery Allen,17 June 2024,01:31,Fleet Management,crane failure caused a fuel leak to ship propeller.,Main Gate Security,Incident,Yes,Fractured ankle due to fall from scaffolding
Charlie Lee,Elliot Smith,07 September 2024,05:41,Warehouse,crane failure caused a fuel leak to ship propeller.,Fuel Depot,Incident,Yes,Back strain from improper lifting
Taylor Clark,Jamie Payne,21 February 2025,03:55,Communications,grinder failure caused electrical fire to ship propeller.,Dockyard South,Incident,Yes,Concussion from falling object
Peyton Ward,Skyler Reed,06 May 2024,15:53,Training & Development,Chemicals spill contaminated paint shop.,Dry Dock 2,Incident,Yes,Hearing damage from loud machinery
Jamie Parker,Elliot Fisher,20 July 2024,13:43,Logistics,Chemicals spill contaminated dock area.,Dry Dock 1,Incident,Yes,Trip hazard fall resulting in bruising
Harper Graham,Chris Bailey,09 July 2025,10:11,Security,crane failure caused a steel beam to drop to dry dock floor.,Dry Dock 2,Incident,Yes,Eye irritation from chemical fumes
Taylor Payne,Elliot Bennett,23 August 2025,17:31,Customer Service,Structural collapse in pier due to corrosion.,Main Gate Security,Incident,Yes,Minor cuts and bruises
Drew Robinson,Reese Walker,23 February 2024,05:24,Customer Service,grinder failure caused electrical fire to ship propeller.,Warehouse B,Incident,Yes,Dislocated shoulder during equipment maintenance
Chris Murray,Casey West,16 October 2024,03:59,Procurement,Hydraulic fluid spill contaminated dock area.,Main Gate Security,Incident,Yes,Concussion from falling object
Kai Payne,Casey Allen,14 May 2024,20:31,Engineering,crane failure caused electrical fire to ship propeller.,IT Server Room,Incident,Yes,Minor cuts and bruises
Jordan Smith,Jordan Johnson,13 May 2025,01:14,Legal,Hydraulic fluid spill contaminated dock area.,Office - Admin Block,Incident,Yes,Trip hazard fall resulting in bruising
Jamie Cooper,Jamie Bennett,06 April 2025,20:28,Operations,Structural collapse in pier due to improper maintenance.,Electrical Bay,Incident,Yes,Fractured ankle due to fall from scaffolding
Alex Davis,Quinn Walker,11 June 2025,06:45,IT,grinder failure caused a steel beam to drop to dry dock floor.,Warehouse A,Incident,Yes,Fractured wrist from fall on wet surface
Elliot Clark,Spencer Ward,29 March 2025,19:51,Logistics,Hydraulic fluid spill contaminated engine room.,Training Room,Incident,Yes,Electric shock from faulty wiring
Avery Bennett,Peyton Payne,02 May 2025,01:04,Dockyard Operations,forklift failure caused electrical fire to ship propeller.,Dockyard North,Incident,Yes,Smoke inhalation from fire in electrical bay
Jordan Payne,Quinn Hughes,13 February 2025,19:10,Dockyard Operations,Hydraulic fluid spill contaminated engine room.,Tool Crib,Incident,Yes,Puncture wound from misplaced tool
Blake Kennedy,Peyton Reed,08 January 2024,07:13,Legal,Structural collapse in dry dock due to corrosion.,Maintenance Shed,Incident,Yes,Fractured ankle due to fall from scaffolding
Frankie Graham,Reese Allen,07 July 2024,08:52,Customer Service,Oil spill contaminated paint shop.,IT Server Room,Incident,Yes,Burn from hot welding equipment
Alex Ward,Alex Bennett,23 May 2024,13:38,Dockyard Operations,grinder failure caused a steel beam to drop to ship propeller.,IT Server Room,Incident,Yes,Smoke inhalation from fire in electrical bay
Charlie Bailey,Jamie Pearson,04 March 2024,14:33,Environmental Services,Structural collapse in pier due to overload.,Dry Dock 1,Incident,Yes,Hearing damage from loud machinery
Dakota Bennett,Harper West,31 December 2024,21:20,Training & Development,Structural collapse in pier due to corrosion.,Shipyard Pier,Incident,Yes,Trip hazard fall resulting in bruising
Avery Lee,Jamie Kennedy,03 March 2025,04:41,Logistics,Structural collapse in pier due to improper maintenance.,Engineering Workshop,Incident,Yes,Fractured wrist from fall on wet surface
Jesse Graham,Reese Hughes,21 January 2024,02:51,Training & Development,forklift failure caused a steel beam to drop to ship propeller.,Dry Dock 2,Incident,Yes,Smoke inhalation from fire in electrical bay
Cameron Ward,Chris Cooper,30 March 2024,12:36,IT,crane failure caused a fuel leak to storage area.,Fleet Garage,Incident,Yes,Back strain from improper lifting
Reese Reed,Spencer Murray,20 May 2024,03:50,Communications,Structural collapse in dry dock due to corrosion.,Dockyard South,Incident,Yes,Foreign object in eye from grinding debris
Quinn Parker,Jamie Cooper,09 January 2025,19:15,Customer Service,forklift failure caused electrical fire to ship propeller.,Warehouse B,Incident,Yes,Hearing damage from loud machinery
Drew Walker,Taylor Fisher,03 November 2024,13:50,Procurement,Structural collapse in shipyard warehouse due to improper maintenance.,Main Gate Security,Incident,Yes,Severe abrasion from slip on deck
Elliot Smith,Emerson Allen,12 April 2025,05:07,Research & Development,grinder failure caused a steel beam to drop to storage area.,Tool Crib,Incident,Yes,Eye irritation from chemical fumes
Taylor Johnson,Reese Walker,19 May 2024,06:29,Security,crane failure caused a steel beam to drop to dry dock floor.,Warehouse A,Incident,Yes,Fractured ankle due to fall from scaffolding
Drew Robinson,Riley Murphy,12 May 2024,05:58,Dockyard Operations,Structural collapse in shipyard warehouse due to overload.,Paint Shop,Incident,Yes,Puncture wound from misplaced tool
Avery Sullivan,Dakota Murphy,04 September 2024,13:02,Communications,Oil spill contaminated paint shop.,Office - Admin Block,Incident,Yes,Compressed air injury during maintenance
Cameron Bailey,Cameron Lewis,16 March 2024,19:46,Fleet Management,Structural collapse in pier due to overload.,Main Gate Security,Incident,Yes,Trip hazard fall resulting in bruising
Charlie Davis,Elliot Cooper,17 December 2024,09:51,IT,forklift failure caused a fuel leak to ship propeller.,Dry Dock 2,Incident,Yes,Crush injury to hand from hydraulic press
Charlie West,Blake Holmes,08 January 2025,20:33,Quality Assurance,Hydraulic fluid spill contaminated engine room.,Dockyard North,Incident,Yes,Smoke inhalation from fire in electrical bay
Frankie Sullivan,Riley Murray,28 February 2025,02:15,Quality Assurance,grinder failure caused a steel beam to drop to storage area.,Reception Area,Incident,Yes,Concussion from falling object
Morgan Clark,Frankie Graham,27 July 2024,15:06,Warehouse,Oil spill contaminated paint shop.,Warehouse B,Incident,Yes,Severe abrasion from slip on deck
Dakota Kennedy,Sawyer Morgan,05 September 2024,07:08,Operations,Oil spill contaminated engine room.,Office - Admin Block,Incident,Yes,Compressed air injury during maintenance
Kai Cooper,Chris Clark,12 July 2025,21:11,Operations,Oil spill contaminated engine room.,Shipyard Pier,Incident,Yes,Trip hazard fall resulting in bruising
Finley Morgan,Morgan Foster,26 January 2025,11:50,Environmental Services,Structural collapse in shipyard warehouse due to overload.,Tool Crib,Incident,Yes,Trip hazard fall resulting in bruising
Finley Sullivan,Elliot Murphy,07 January 2024,07:59,Training & Development,Structural collapse in pier due to corrosion.,Main Gate Security,Incident,Yes,Compressed air injury during maintenance
Sydney Kennedy,Harper Graham,25 June 2024,08:24,Ship Maintenance,Structural collapse in pier due to improper maintenance.,Office - Admin Block,Incident,Yes,Smoke inhalation from fire in electrical bay
